,queries,entities,types,location_code,language_code,search_partners,competition,cpc,search_volume,categories,monthly_searches
0,best mutual funds 2020 for sip,n.a.,uncategorized,2840,en,False,,,10.0,,"[{'year': 2020, 'month': 12, 'search_volume': 0}, {'year': 2020, 'month': 11, 'search_volume': 0}, {'year': 2020, 'month': 10, 'search_volume': 10}, {'year': 2020, 'month': 9, 'search_volume': 0}, {'year': 2020, 'month': 8, 'search_volume': 10}, {'year': 2020, 'month': 7, 'search_volume': 0}, {'year': 2020, 'month': 6, 'search_volume': 10}, {'year': 2020, 'month': 5, 'search_volume': 10}, {'year': 2020, 'month': 4, 'search_volume': 10}, {'year': 2020, 'month': 3, 'search_volume': 0}, {'year': 2020, 'month': 2, 'search_volume': 10}, {'year': 2020, 'month': 1, 'search_volume': 0}]"
1,best mutual funds broker,n.a.,uncategorized,2840,en,False,0.5078834209268992,12.253273,480.0,"[10012, 10095, 11819, 11831]","[{'year': 2020, 'month': 12, 'search_volume': 320}, {'year': 2020, 'month': 11, 'search_volume': 170}, {'year': 2020, 'month': 10, 'search_volume': 170}, {'year': 2020, 'month': 9, 'search_volume': 390}, {'year': 2020, 'month': 8, 'search_volume': 480}, {'year': 2020, 'month': 7, 'search_volume': 590}, {'year': 2020, 'month': 6, 'search_volume': 590}, {'year': 2020, 'month': 5, 'search_volume': 590}, {'year': 2020, 'month': 4, 'search_volume': 590}, {'year': 2020, 'month': 3, 'search_volume': 720}, {'year': 2020, 'month': 2, 'search_volume': 1300}, {'year': 2020, 'month': 1, 'search_volume': 480}]"
2,mutual funds interest rate calculator,n.a.,uncategorized,2840,en,False,0.18303571428571427,4.022663,30.0,,"[{'year': 2020, 'month': 12, 'search_volume': 30}, {'year': 2020, 'month': 11, 'search_volume': 30}, {'year': 2020, 'month': 10, 'search_volume': 30}, {'year': 2020, 'month': 9, 'search_volume': 30}, {'year': 2020, 'month': 8, 'search_volume': 30}, {'year': 2020, 'month': 7, 'search_volume': 30}, {'year': 2020, 'month': 6, 'search_volume': 30}, {'year': 2020, 'month': 5, 'search_volume': 30}, {'year': 2020, 'month': 4, 'search_volume': 40}, {'year': 2020, 'month': 3, 'search_volume': 20}, {'year': 2020, 'month': 2, 'search_volume': 30}, {'year': 2020, 'month': 1, 'search_volume': 30}]"
3,mutual funds in german,n.a.,uncategorized,2840,en,False,,,,,"[{'year': 2021, 'month': 1, 'search_volume': None}, {'year': 2020, 'month': 12, 'search_volume': None}, {'year': 2020, 'month': 11, 'search_volume': None}, {'year': 2020, 'month': 10, 'search_volume': None}, {'year': 2020, 'month': 9, 'search_volume': None}, {'year': 2020, 'month': 8, 'search_volume': None}, {'year': 2020, 'month': 7, 'search_volume': None}, {'year': 2020, 'month': 6, 'search_volume': None}, {'year': 2020, 'month': 5, 'search_volume': None}, {'year': 2020, 'month': 4, 'search_volume': None}, {'year': 2020, 'month': 3, 'search_volume': None}, {'year': 2020, 'month': 2, 'search_volume': None}]"
4,mutual funds for first time investors,n.a.,uncategorized,2840,en,False,0.23214285714285712,5.22622,10.0,,"[{'year': 2020, 'month': 12, 'search_volume': 10}, {'year': 2020, 'month': 11, 'search_volume': 10}, {'year': 2020, 'month': 10, 'search_volume': 10}, {'year': 2020, 'month': 9, 'search_volume': 10}, {'year': 2020, 'month': 8, 'search_volume': 10}, {'year': 2020, 'month': 7, 'search_volume': 10}, {'year': 2020, 'month': 6, 'search_volume': 10}, {'year': 2020, 'month': 5, 'search_volume': 10}, {'year': 2020, 'month': 4, 'search_volume': 10}, {'year': 2020, 'month': 3, 'search_volume': 10}, {'year': 2020, 'month': 2, 'search_volume': 10}, {'year': 2020, 'month': 1, 'search_volume': 10}]"
5,best mutual funds for 70 year olds,n.a.,uncategorized,2840,en,False,,,,,"[{'year': 2021, 'month': 1, 'search_volume': None}, {'year': 2020, 'month': 12, 'search_volume': None}, {'year': 2020, 'month': 11, 'search_volume': None}, {'year': 2020, 'month': 10, 'search_volume': None}, {'year': 2020, 'month': 9, 'search_volume': None}, {'year': 2020, 'month': 8, 'search_volume': None}, {'year': 2020, 'month': 7, 'search_volume': None}, {'year': 2020, 'month': 6, 'search_volume': None}, {'year': 2020, 'month': 5, 'search_volume': None}, {'year': 2020, 'month': 4, 'search_volume': None}, {'year': 2020, 'month': 3, 'search_volume': None}, {'year': 2020, 'month': 2, 'search_volume': None}]"
6,best mutual funds canada 2021,n.a.,uncategorized,2840,en,False,,,,,"[{'year': 2021, 'month': 1, 'search_volume': None}, {'year': 2020, 'month': 12, 'search_volume': None}, {'year': 2020, 'month': 11, 'search_volume': None}, {'year': 2020, 'month': 10, 'search_volume': None}, {'year': 2020, 'month': 9, 'search_volume': None}, {'year': 2020, 'month': 8, 'search_volume': None}, {'year': 2020, 'month': 7, 'search_volume': None}, {'year': 2020, 'month': 6, 'search_volume': None}, {'year': 2020, 'month': 5, 'search_volume': None}, {'year': 2020, 'month': 4, 'search_volume': None}, {'year': 2020, 'month': 3, 'search_volume': None}, {'year': 2020, 'month': 2, 'search_volume': None}]"
7,mutual funds for 7 years,n.a.,uncategorized,2840,en,False,,,,,"[{'year': 2021, 'month': 1, 'search_volume': None}, {'year': 2020, 'month': 12, 'search_volume': None}, {'year': 2020, 'month': 11, 'search_volume': None}, {'year': 2020, 'month': 10, 'search_volume': None}, {'year': 2020, 'month': 9, 'search_volume': None}, {'year': 2020, 'month': 8, 'search_volume': None}, {'year': 2020, 'month': 7, 'search_volume': None}, {'year': 2020, 'month': 6, 'search_volume': None}, {'year': 2020, 'month': 5, 'search_volume': None}, {'year': 2020, 'month': 4, 'search_volume': None}, {'year': 2020, 'month': 3, 'search_volume': None}, {'year': 2020, 'month': 2, 'search_volume': None}]"
8,mutual funds top 10,n.a.,uncategorized,2840,en,False,0.33816425120772947,6.137984,590.0,"[10012, 10095, 11826, 11828]","[{'year': 2020, 'month': 12, 'search_volume': 590}, {'year': 2020, 'month': 11, 'search_volume': 480}, {'year': 2020, 'month': 10, 'search_volume': 480}, {'year': 2020, 'month': 9, 'search_volume': 480}, {'year': 2020, 'month': 8, 'search_volume': 480}, {'year': 2020, 'month': 7, 'search_volume': 480}, {'year': 2020, 'month': 6, 'search_volume': 480}, {'year': 2020, 'month': 5, 'search_volume': 480}, {'year': 2020, 'month': 4, 'search_volume': 590}, {'year': 2020, 'month': 3, 'search_volume': 590}, {'year': 2020, 'month': 2, 'search_volume': 590}, {'year': 2020, 'month': 1, 'search_volume': 590}]"
9,mutual funds with 0 expense ratio,n.a.,uncategorized,2840,en,False,,,,,"[{'year': 2021, 'month': 1, 'search_volume': None}, {'year': 2020, 'month': 12, 'search_volume': None}, {'year': 2020, 'month': 11, 'search_volume': None}, {'year': 2020, 'month': 10, 'search_volume': None}, {'year': 2020, 'month': 9, 'search_volume': None}, {'year': 2020, 'month': 8, 'search_volume': None}, {'year': 2020, 'month': 7, 'search_volume': None}, {'year': 2020, 'month': 6, 'search_volume': None}, {'year': 2020, 'month': 5, 'search_volume': None}, {'year': 2020, 'month': 4, 'search_volume': None}, {'year': 2020, 'month': 3, 'search_volume': None}, {'year': 2020, 'month': 2, 'search_volume': None}]"
10,mutual funds in federal bank,n.a.,uncategorized,2840,en,False,0.0,,10.0,,"[{'year': 2020, 'month': 12, 'search_volume': 10}, {'year': 2020, 'month': 11, 'search_volume': 0}, {'year': 2020, 'month': 10, 'search_volume': 0}, {'year': 2020, 'month': 9, 'search_volume': 0}, {'year': 2020, 'month': 8, 'search_volume': 0}, {'year': 2020, 'month': 7, 'search_volume': 0}, {'year': 2020, 'month': 6, 'search_volume': 0}, {'year': 2020, 'month': 5, 'search_volume': 0}, {'year': 2020, 'month': 4, 'search_volume': 0}, {'year': 2020, 'month': 3, 'search_volume': 10}, {'year': 2020, 'month': 2, 'search_volume': 0}, {'year': 2020, 'month': 1, 'search_volume': 0}]"
11,mutual funds for 30 days,n.a.,uncategorized,2840,en,False,,,,,"[{'year': 2021, 'month': 1, 'search_volume': None}, {'year': 2020, 'month': 12, 'search_volume': None}, {'year': 2020, 'month': 11, 'search_volume': None}, {'year': 2020, 'month': 10, 'search_volume': None}, {'year': 2020, 'month': 9, 'search_volume': None}, {'year': 2020, 'month': 8, 'search_volume': None}, {'year': 2020, 'month': 7, 'search_volume': None}, {'year': 2020, 'month': 6, 'search_volume': None}, {'year': 2020, 'month': 5, 'search_volume': None}, {'year': 2020, 'month': 4, 'search_volume': None}, {'year': 2020, 'month': 3, 'search_volume': None}, {'year': 2020, 'month': 2, 'search_volume': None}]"
12,mutual funds in pakistan pdf,n.a.,uncategorized,2840,en,False,,,0.0,"[10012, 10095, 11826, 11828]","[{'year': 2020, 'month': 12, 'search_volume': 0}, {'year': 2020, 'month': 11, 'search_volume': 0}, {'year': 2020, 'month': 10, 'search_volume': 0}, {'year': 2020, 'month': 9, 'search_volume': 0}, {'year': 2020, 'month': 8, 'search_volume': 0}, {'year': 2020, 'month': 7, 'search_volume': 0}, {'year': 2020, 'month': 6, 'search_volume': 0}, {'year': 2020, 'month': 5, 'search_volume': 0}, {'year': 2020, 'month': 4, 'search_volume': 0}, {'year': 2020, 'month': 3, 'search_volume': 0}, {'year': 2020, 'month': 2, 'search_volume': 0}, {'year': 2020, 'month': 1, 'search_volume': 0}]"
13,mutual funds for different goals,n.a.,uncategorized,2840,en,False,,,,,"[{'year': 2021, 'month': 1, 'search_volume': None}, {'year': 2020, 'month': 12, 'search_volume': None}, {'year': 2020, 'month': 11, 'search_volume': None}, {'year': 2020, 'month': 10, 'search_volume': None}, {'year': 2020, 'month': 9, 'search_volume': None}, {'year': 2020, 'month': 8, 'search_volume': None}, {'year': 2020, 'month': 7, 'search_volume': None}, {'year': 2020, 'month': 6, 'search_volume': None}, {'year': 2020, 'month': 5, 'search_volume': None}, {'year': 2020, 'month': 4, 'search_volume': None}, {'year': 2020, 'month': 3, 'search_volume': None}, {'year': 2020, 'month': 2, 'search_volume': None}]"
14,mutual funds kinds,n.a.,uncategorized,2840,en,False,,,,,"[{'year': 2021, 'month': 1, 'search_volume': None}, {'year': 2020, 'month': 12, 'search_volume': None}, {'year': 2020, 'month': 11, 'search_volume': None}, {'year': 2020, 'month': 10, 'search_volume': None}, {'year': 2020, 'month': 9, 'search_volume': None}, {'year': 2020, 'month': 8, 'search_volume': None}, {'year': 2020, 'month': 7, 'search_volume': None}, {'year': 2020, 'month': 6, 'search_volume': None}, {'year': 2020, 'month': 5, 'search_volume': None}, {'year': 2020, 'month': 4, 'search_volume': None}, {'year': 2020, 'month': 3, 'search_volume': None}, {'year': 2020, 'month': 2, 'search_volume': None}]"
15,mutual funds for ira,n.a.,uncategorized,2840,en,False,0.3736805066854328,6.740049,880.0,"[10012, 10092, 10095, 10527, 11824, 12952]","[{'year': 2020, 'month': 12, 'search_volume': 880}, {'year': 2020, 'month': 11, 'search_volume': 880}, {'year': 2020, 'month': 10, 'search_volume': 880}, {'year': 2020, 'month': 9, 'search_volume': 1900}, {'year': 2020, 'month': 8, 'search_volume': 1900}, {'year': 2020, 'month': 7, 'search_volume': 720}, {'year': 2020, 'month': 6, 'search_volume': 720}, {'year': 2020, 'month': 5, 'search_volume': 480}, {'year': 2020, 'month': 4, 'search_volume': 590}, {'year': 2020, 'month': 3, 'search_volume': 720}, {'year': 2020, 'month': 2, 'search_volume': 590}, {'year': 2020, 'month': 1, 'search_volume': 590}]"
16,mutual funds in col financial,n.a.,uncategorized,2840,en,False,0.0,,10.0,,"[{'year': 2020, 'month': 12, 'search_volume': 10}, {'year': 2020, 'month': 11, 'search_volume': 10}, {'year': 2020, 'month': 10, 'search_volume': 0}, {'year': 2020, 'month': 9, 'search_volume': 10}, {'year': 2020, 'month': 8, 'search_volume': 0}, {'year': 2020, 'month': 7, 'search_volume': 0}, {'year': 2020, 'month': 6, 'search_volume': 0}, {'year': 2020, 'month': 5, 'search_volume': 10}, {'year': 2020, 'month': 4, 'search_volume': 10}, {'year': 2020, 'month': 3, 'search_volume': 0}, {'year': 2020, 'month': 2, 'search_volume': 0}, {'year': 2020, 'month': 1, 'search_volume': 0}]"
17,best mutual funds youtube channel,n.a.,uncategorized,2840,en,False,,,,,"[{'year': 2021, 'month': 1, 'search_volume': None}, {'year': 2020, 'month': 12, 'search_volume': None}, {'year': 2020, 'month': 11, 'search_volume': None}, {'year': 2020, 'month': 10, 'search_volume': None}, {'year': 2020, 'month': 9, 'search_volume': None}, {'year': 2020, 'month': 8, 'search_volume': None}, {'year': 2020, 'month': 7, 'search_volume': None}, {'year': 2020, 'month': 6, 'search_volume': None}, {'year': 2020, 'month': 5, 'search_volume': None}, {'year': 2020, 'month': 4, 'search_volume': None}, {'year': 2020, 'month': 3, 'search_volume': None}, {'year': 2020, 'month': 2, 'search_volume': None}]"
18,mutual funds in uk,n.a.,uncategorized,2840,en,False,0.2857142857142857,6.139708,70.0,"[10012, 10095, 11826, 11828]","[{'year': 2020, 'month': 12, 'search_volume': 110}, {'year': 2020, 'month': 11, 'search_volume': 40}, {'year': 2020, 'month': 10, 'search_volume': 50}, {'year': 2020, 'month': 9, 'search_volume': 50}, {'year': 2020, 'month': 8, 'search_volume': 50}, {'year': 2020, 'month': 7, 'search_volume': 70}, {'year': 2020, 'month': 6, 'search_volume': 70}, {'year': 2020, 'month': 5, 'search_volume': 50}, {'year': 2020, 'month': 4, 'search_volume': 50}, {'year': 2020, 'month': 3, 'search_volume': 40}, {'year': 2020, 'month': 2, 'search_volume': 70}, {'year': 2020, 'month': 1, 'search_volume': 90}]"
19,mutual funds in guyana,n.a.,uncategorized,2840,en,False,0.42857142857142855,,10.0,,"[{'year': 2020, 'month': 12, 'search_volume': 10}, {'year': 2020, 'month': 11, 'search_volume': 0}, {'year': 2020, 'month': 10, 'search_volume': 0}, {'year': 2020, 'month': 9, 'search_volume': 10}, {'year': 2020, 'month': 8, 'search_volume': 10}, {'year': 2020, 'month': 7, 'search_volume': 10}, {'year': 2020, 'month': 6, 'search_volume': 0}, {'year': 2020, 'month': 5, 'search_volume': 0}, {'year': 2020, 'month': 4, 'search_volume': 0}, {'year': 2020, 'month': 3, 'search_volume': 10}, {'year': 2020, 'month': 2, 'search_volume': 10}, {'year': 2020, 'month': 1, 'search_volume': 10}]"
20,best mutual funds short term,n.a.,uncategorized,2840,en,False,0.2326007326007326,8.203254,140.0,"[10012, 10095, 11826, 11828]","[{'year': 2020, 'month': 12, 'search_volume': 170}, {'year': 2020, 'month': 11, 'search_volume': 140}, {'year': 2020, 'month': 10, 'search_volume': 110}, {'year': 2020, 'month': 9, 'search_volume': 110}, {'year': 2020, 'month': 8, 'search_volume': 140}, {'year': 2020, 'month': 7, 'search_volume': 140}, {'year': 2020, 'month': 6, 'search_volume': 110}, {'year': 2020, 'month': 5, 'search_volume': 110}, {'year': 2020, 'month': 4, 'search_volume': 140}, {'year': 2020, 'month': 3, 'search_volume': 110}, {'year': 2020, 'month': 2, 'search_volume': 170}, {'year': 2020, 'month': 1, 'search_volume': 170}]"
21,best mutual funds robinhood,n.a.,uncategorized,2840,en,False,0.10204081632653061,,40.0,,"[{'year': 2020, 'month': 12, 'search_volume': 40}, {'year': 2020, 'month': 11, 'search_volume': 40}, {'year': 2020, 'month': 10, 'search_volume': 30}, {'year': 2020, 'month': 9, 'search_volume': 40}, {'year': 2020, 'month': 8, 'search_volume': 40}, {'year': 2020, 'month': 7, 'search_volume': 30}, {'year': 2020, 'month': 6, 'search_volume': 50}, {'year': 2020, 'month': 5, 'search_volume': 50}, {'year': 2020, 'month': 4, 'search_volume': 40}, {'year': 2020, 'month': 3, 'search_volume': 40}, {'year': 2020, 'month': 2, 'search_volume': 40}, {'year': 2020, 'month': 1, 'search_volume': 30}]"
22,mutual funds in fmcg sector,n.a.,uncategorized,2840,en,False,,,,,"[{'year': 2021, 'month': 1, 'search_volume': None}, {'year': 2020, 'month': 12, 'search_volume': None}, {'year': 2020, 'month': 11, 'search_volume': None}, {'year': 2020, 'month': 10, 'search_volume': None}, {'year': 2020, 'month': 9, 'search_volume': None}, {'year': 2020, 'month': 8, 'search_volume': None}, {'year': 2020, 'month': 7, 'search_volume': None}, {'year': 2020, 'month': 6, 'search_volume': None}, {'year': 2020, 'month': 5, 'search_volume': None}, {'year': 2020, 'month': 4, 'search_volume': None}, {'year': 2020, 'month': 3, 'search_volume': None}, {'year': 2020, 'month': 2, 'search_volume': None}]"
23,mutual funds kuwait,n.a.,uncategorized,2840,en,False,,,,,"[{'year': 2021, 'month': 1, 'search_volume': None}, {'year': 2020, 'month': 12, 'search_volume': None}, {'year': 2020, 'month': 11, 'search_volume': None}, {'year': 2020, 'month': 10, 'search_volume': None}, {'year': 2020, 'month': 9, 'search_volume': None}, {'year': 2020, 'month': 8, 'search_volume': None}, {'year': 2020, 'month': 7, 'search_volume': None}, {'year': 2020, 'month': 6, 'search_volume': None}, {'year': 2020, 'month': 5, 'search_volume': None}, {'year': 2020, 'month': 4, 'search_volume': None}, {'year': 2020, 'month': 3, 'search_volume': None}, {'year': 2020, 'month': 2, 'search_volume': None}]"
24,best mutual funds 1000 minimum,n.a.,uncategorized,2840,en,False,0.12244897959183673,,10.0,"[10012, 10095, 11819, 11828]","[{'year': 2020, 'month': 12, 'search_volume': 10}, {'year': 2020, 'month': 11, 'search_volume': 10}, {'year': 2020, 'month': 10, 'search_volume': 10}, {'year': 2020, 'month': 9, 'search_volume': 10}, {'year': 2020, 'month': 8, 'search_volume': 10}, {'year': 2020, 'month': 7, 'search_volume': 10}, {'year': 2020, 'month': 6, 'search_volume': 10}, {'year': 2020, 'month': 5, 'search_volume': 10}, {'year': 2020, 'month': 4, 'search_volume': 10}, {'year': 2020, 'month': 3, 'search_volume': 20}, {'year': 2020, 'month': 2, 'search_volume': 10}, {'year': 2020, 'month': 1, 'search_volume': 10}]"
